post_id,permalink,datetime_utc,owner_username,location_name,final_model_version,category,confidence,meal_type,cuisines,content_type,needs_review,rationale,entities_json,selected_processed_at,refreshed_at
3845511194795435396,https://www.instagram.com/p/DVeAA6pkeWE/,2026-03-04T16:11:19+00:00,atllovesmo,"Atlanta, Georgia",llm-refined-v1-dryrun-full,event,0.675,unknown,,event,0,dry_run_keep_source,"{""meal_type"": ""unknown"", ""cuisines"": [], ""content_type"": ""event"", ""location"": {""name"": ""Atlanta, Georgia"", ""slug"": null}, ""signals"": {""source_model_version"": ""nlp-refined-v1"", ""baseline_meal_type"": ""unknown"", ""baseline_cuisines"": [], ""baseline_content_type"": ""event"", ""baseline_confidence"": 0.675}, ""metadata"": {""hashtags"": [], ""mentions"": [], ""llm_model"": ""gpt-4.1-mini"", ""llm_base_url"": ""https://api.openai.com/v1"", ""refined_from"": ""nlp-refined-v1""}, ""refinement"": {""llm_raw"": {""meal_type"": ""unknown"", ""cuisines"": [], ""content_type"": ""event"", ""confidence"": 0.675, ""needs_review"": false, ""rationale"": ""dry_run_keep_source""}, ""needs_review"": false, ""rationale"": ""dry_run_keep_source""}}",2026-04-18 22:37:26,2026-04-20 18:58:42
3841371990091999118,https://www.instagram.com/p/DVPS3j3kaeO/,2026-02-26T23:11:25+00:00,atllovesmo,"Atlanta, Georgia",llm-refined-v1-dryrun-full,event,0.66,unknown,,event,0,dry_run_keep_source,"{""meal_type"": ""unknown"", ""cuisines"": [], ""content_type"": ""event"", ""location"": {""name"": ""Atlanta, Georgia"", ""slug"": null}, ""signals"": {""source_model_version"": ""nlp-refined-v1"", ""baseline_meal_type"": ""unknown"", ""baseline_cuisines"": [], ""baseline_content_type"": ""event"", ""baseline_confidence"": 0.66}, ""metadata"": {""hashtags"": [], ""mentions"": [""closefriendsati"", ""closefriendsatl"", ""parktavern""], ""llm_model"": ""gpt-4.1-mini"", ""llm_base_url"": ""https://api.openai.com/v1"", ""refined_from"": ""nlp-refined-v1""}, ""refinement"": {""llm_raw"": {""meal_type"": ""unknown"", ""cuisines"": [], ""content_type"": ""event"", ""confidence"": 0.66, ""needs_review"": false, ""rationale"": ""dry_run_keep_source""}, ""needs_review"": false, ""rationale"": ""dry_run_keep_source""}}",2026-04-18 22:37:26,2026-04-20 18:58:42
3840597207318366650,https://www.instagram.com/p/DVMis_LkYm6/,2026-02-25T21:34:43+00:00,atllovesmo,"Atlanta, Georgia",llm-refined-v1-dryrun-full,dinner,0.796,dinner,,food_spot,0,dry_run_keep_source,"{""meal_type"": ""dinner"", ""cuisines"": [], ""content_type"": ""food_spot"", ""location"": {""name"": ""Atlanta, Georgia"", ""slug"": null}, ""signals"": {""source_model_version"": ""nlp-refined-v1"", ""baseline_meal_type"": ""dinner"", ""baseline_cuisines"": [], ""baseline_content_type"": ""food_spot"", ""baseline_confidence"": 0.796}, ""metadata"": {""hashtags"": [], ""mentions"": [""atllovesmo"", ""bansheelatenight"", ""gaja_eav"", ""sfseav""], ""llm_model"": ""gpt-4.1-mini"", ""llm_base_url"": ""https://api.openai.com/v1"", ""refined_from"": ""nlp-refined-v1""}, ""refinement"": {""llm_raw"": {""meal_type"": ""dinner"", ""cuisines"": [], ""content_type"": ""food_spot"", ""confidence"": 0.796, ""needs_review"": false, ""rationale"": ""dry_run_keep_source""}, ""needs_review"": false, ""rationale"": ""dry_run_keep_source""}}",2026-04-18 22:37:26,2026-04-20 18:58:42
3839850548602936993,https://www.instagram.com/p/DVJ47rEER6h/,2026-02-24T20:51:05+00:00,atllovesmo,"Atlanta, Georgia",llm-refined-v1-dryrun-full,dinner,0.829,dinner,italian|japanese,food_spot,0,dry_run_keep_source,"{""meal_type"": ""dinner"", ""cuisines"": [""italian"", ""japanese""], ""content_type"": ""food_spot"", ""location"": {""name"": ""Atlanta, Georgia"", ""slug"": null}, ""signals"": {""source_model_version"": ""nlp-refined-v1"", ""baseline_meal_type"": ""dinner"", ""baseline_cuisines"": [""italian"", ""japanese""], ""baseline_content_type"": ""food_spot"", ""baseline_confidence"": 0.829}, ""metadata"": {""hashtags"": [], ""mentions"": [""atllovesmo"", ""fumatl"", ""kinjoroom"", ""krogbar_pizza_"", ""starmetalsatl"", ""theinterlockatl""], ""llm_model"": ""gpt-4.1-mini"", ""llm_base_url"": ""https://api.openai.com/v1"", ""refined_from"": ""nlp-refined-v1""}, ""refinement"": {""llm_raw"": {""meal_type"": ""dinner"", ""cuisines"": [""italian"", ""japanese""], ""content_type"": ""food_spot"", ""confidence"": 0.829, ""needs_review"": false, ""rationale"": ""dry_run_keep_source""}, ""needs_review"": false, ""rationale"": ""dry_run_keep_source""}}",2026-04-18 22:37:26,2026-04-20 18:58:42
3839117150238356994,https://www.instagram.com/p/DVHSLUnETYC/,2026-02-23T20:27:58+00:00,atllovesmo,"Atlanta, Georgia",llm-refined-v1-dryrun-full,dinner,0.735,dinner,italian,food_spot,0,dry_run_keep_source,"{""meal_type"": ""dinner"", ""cuisines"": [""italian""], ""content_type"": ""food_spot"", ""location"": {""name"": ""Atlanta, Georgia"", ""slug"": null}, ""signals"": {""source_model_version"": ""nlp-refined-v1"", ""baseline_meal_type"": ""dinner"", ""baseline_cuisines"": [""italian""], ""baseline_content_type"": ""food_spot"", ""baseline_confidence"": 0.735}, ""metadata"": {""hashtags"": [], ""mentions"": [""atllovesmo"", ""fumatl""], ""llm_model"": ""gpt-4.1-mini"", ""llm_base_url"": ""https://api.openai.com/v1"", ""refined_from"": ""nlp-refined-v1""}, ""refinement"": {""llm_raw"": {""meal_type"": ""dinner"", ""cuisines"": [""italian""], ""content_type"": ""food_spot"", ""confidence"": 0.735, ""needs_review"": false, ""rationale"": ""dry_run_keep_source""}, ""needs_review"": false, ""rationale"": ""dry_run_keep_source""}}",2026-04-18 22:37:26,2026-04-20 18:58:42
3837520278327504950,https://www.instagram.com/p/DVBnFxwEbA2/,2026-02-21T15:34:56+00:00,atllovesmo,"Atlanta, Georgia",llm-refined-v1-dryrun-full,dinner,0.744,dinner,mediterranean|seafood,food_spot,0,dry_run_keep_source,"{""meal_type"": ""dinner"", ""cuisines"": [""mediterranean"", ""seafood""], ""content_type"": ""food_spot"", ""location"": {""name"": ""Atlanta, Georgia"", ""slug"": null}, ""signals"": {""source_model_version"": ""nlp-refined-v1"", ""baseline_meal_type"": ""dinner"", ""baseline_cuisines"": [""mediterranean"", ""seafood""], ""baseline_content_type"": ""food_spot"", ""baseline_confidence"": 0.744}, ""metadata"": {""hashtags"": [], ""mentions"": [""atllovesmo"", ""azaraatl""], ""llm_model"": ""gpt-4.1-mini"", ""llm_base_url"": ""https://api.openai.com/v1"", ""refined_from"": ""nlp-refined-v1""}, ""refinement"": {""llm_raw"": {""meal_type"": ""dinner"", ""cuisines"": [""mediterranean"", ""seafood""], ""content_type"": ""food_spot"", ""confidence"": 0.744, ""needs_review"": false, ""rationale"": ""dry_run_keep_source""}, ""needs_review"": false, ""rationale"": ""dry_run_keep_source""}}",2026-04-18 22:37:26,2026-04-20 18:58:42
3836052549330360352,https://www.instagram.com/p/DU8ZXgmkVgg/,2026-02-19T14:58:40+00:00,atllovesmo,"Atlanta, Georgia",llm-refined-v1-dryrun-full,drinks,0.736,drinks,coffee_cafe,food_spot,0,dry_run_keep_source,"{""meal_type"": ""drinks"", ""cuisines"": [""coffee_cafe""], ""content_type"": ""food_spot"", ""location"": {""name"": ""Atlanta, Georgia"", ""slug"": null}, ""signals"": {""source_model_version"": ""nlp-refined-v1"", ""baseline_meal_type"": ""drinks"", ""baseline_cuisines"": [""coffee_cafe""], ""baseline_content_type"": ""food_spot"", ""baseline_confidence"": 0.736}, ""metadata"": {""hashtags"": [], ""mentions"": [""bansheelatenight"", ""chef_tableware"", ""common.coffee.cocktails"", ""florafaunaatl"", ""spacequeen_atl""], ""llm_model"": ""gpt-4.1-mini"", ""llm_base_url"": ""https://api.openai.com/v1"", ""refined_from"": ""nlp-refined-v1""}, ""refinement"": {""llm_raw"": {""meal_type"": ""drinks"", ""cuisines"": [""coffee_cafe""], ""content_type"": ""food_spot"", ""confidence"": 0.736, ""needs_review"": false, ""rationale"": ""dry_run_keep_source""}, ""needs_review"": false, ""rationale"": ""dry_run_keep_source""}}",2026-04-18 22:37:26,2026-04-20 18:58:42
3834753803556589585,https://www.instagram.com/p/DU3yERWEZAR/,2026-02-17T19:59:20+00:00,atllovesmo,"Atlanta, Georgia",llm-refined-v1-dryrun-full,event,0.675,drinks,seafood,event,0,dry_run_keep_source,"{""meal_type"": ""drinks"", ""cuisines"": [""seafood""], ""content_type"": ""event"", ""location"": {""name"": ""Atlanta, Georgia"", ""slug"": null}, ""signals"": {""source_model_version"": ""nlp-refined-v1"", ""baseline_meal_type"": ""drinks"", ""baseline_cuisines"": [""seafood""], ""baseline_content_type"": ""event"", ""baseline_confidence"": 0.675}, ""metadata"": {""hashtags"": [], ""mentions"": [""atllovesmo"", ""steamhouselounge""], ""llm_model"": ""gpt-4.1-mini"", ""llm_base_url"": ""https://api.openai.com/v1"", ""refined_from"": ""nlp-refined-v1""}, ""refinement"": {""llm_raw"": {""meal_type"": ""drinks"", ""cuisines"": [""seafood""], ""content_type"": ""event"", ""confidence"": 0.675, ""needs_review"": false, ""rationale"": ""dry_run_keep_source""}, ""needs_review"": false, ""rationale"": ""dry_run_keep_source""}}",2026-04-18 22:37:26,2026-04-20 18:58:42
3831169389115281291,https://www.instagram.com/p/DUrDELQkQ-L/,2026-02-12T21:17:35+00:00,atllovesmo,"Atlanta, Georgia",llm-refined-v1-dryrun-full,unknown,0.63,unknown,,food_spot,0,dry_run_keep_source,"{""meal_type"": ""unknown"", ""cuisines"": [], ""content_type"": ""food_spot"", ""location"": {""name"": ""Atlanta, Georgia"", ""slug"": null}, ""signals"": {""source_model_version"": ""nlp-refined-v1"", ""baseline_meal_type"": ""unknown"", ""baseline_cuisines"": [], ""baseline_content_type"": ""food_spot"", ""baseline_confidence"": 0.63}, ""metadata"": {""hashtags"": [], ""mentions"": [""lumivita_buckhead""], ""llm_model"": ""gpt-4.1-mini"", ""llm_base_url"": ""https://api.openai.com/v1"", ""refined_from"": ""nlp-refined-v1""}, ""refinement"": {""llm_raw"": {""meal_type"": ""unknown"", ""cuisines"": [], ""content_type"": ""food_spot"", ""confidence"": 0.63, ""needs_review"": false, ""rationale"": ""dry_run_keep_source""}, ""needs_review"": false, ""rationale"": ""dry_run_keep_source""}}",2026-04-18 22:37:26,2026-04-20 18:58:42
3829781132800513712,https://www.instagram.com/p/DUmHaY0EVaw/,2026-02-10T23:23:36+00:00,atllovesmo,"Atlanta, Georgia",llm-refined-v1-dryrun-full,dinner,0.685,dinner,bbq,food_spot,0,dry_run_keep_source,"{""meal_type"": ""dinner"", ""cuisines"": [""bbq""], ""content_type"": ""food_spot"", ""location"": {""name"": ""Atlanta, Georgia"", ""slug"": null}, ""signals"": {""source_model_version"": ""nlp-refined-v1"", ""baseline_meal_type"": ""dinner"", ""baseline_cuisines"": [""bbq""], ""baseline_content_type"": ""food_spot"", ""baseline_confidence"": 0.685}, ""metadata"": {""hashtags"": [], ""mentions"": [""atllovesmo"", ""bona_fide_deluxe""], ""llm_model"": ""gpt-4.1-mini"", ""llm_base_url"": ""https://api.openai.com/v1"", ""refined_from"": ""nlp-refined-v1""}, ""refinement"": {""llm_raw"": {""meal_type"": ""dinner"", ""cuisines"": [""bbq""], ""content_type"": ""food_spot"", ""confidence"": 0.685, ""needs_review"": false, ""rationale"": ""dry_run_keep_source""}, ""needs_review"": false, ""rationale"": ""dry_run_keep_source""}}",2026-04-18 22:37:26,2026-04-20 18:58:42
