post_id,datetime_utc,permalink,caption,owner_username,location_name,final_model_version,category,meal_type,cuisines,content_type,confidence,needs_review,rationale
3845511194795435396,2026-03-04T16:11:19+00:00,https://www.instagram.com/p/DVeAA6pkeWE/,"march events 🍀💫 things to do in Atlanta solo, with your friends , with ur love - whether you want to get crafty, listen to live music, bar crawl in ur best green fit, dance, vintage shop, & more 

SAVE and SHARE and have fun exploring 🫶 

If I left off anything fun, drop below 👇",atllovesmo,"Atlanta, Georgia",llm-refined-v1-dryrun-full,event,unknown,,event,0.675,0,dry_run_keep_source
3841371990091999118,2026-02-26T23:11:25+00:00,https://www.instagram.com/p/DVPS3j3kaeO/,"Mark your calendar & tell your friends 🍀🍻✨

SATURDAY - MARCH 14th
@closefriendsatl’s biggest winter lineup - Get Lucky
Music Fest 

💫 28 dj’s, 4 different stages, 2 live bands 
💫 one epic day-time music festival

@ParkTavern + @CloseFriendsAtI have teamed up to bring Atl’s finest DJs under one roof like never before on Saturday, March 14, 2026 from 2PM - late night!

🎟️ Grab your tix now - in bio 
🍻 21+ welcome
🍀 Green + Orange attire
🪩 House • Live Band • EDM • Open Format
📍 Park Tavern @ Piedmont Park

See you there??",atllovesmo,"Atlanta, Georgia",llm-refined-v1-dryrun-full,event,unknown,,event,0.66,0,dry_run_keep_source
3840597207318366650,2026-02-25T21:34:43+00:00,https://www.instagram.com/p/DVMis_LkYm6/,"ps. you deserve a late night in east atl village 🪩✨

Follow @atllovesmo for more 💌

if you know, you know… @bansheelatenight turns into one of the most fun dance floors in atl once the sun goes down. They have rotating djs spinning everything from house + electronic to indie dance and throwbacks, it really depends on the night, so check @bansheelatenight page to see who’s playing and what vibe you’re into.

make it a full walkable date night: start with dinner at @gaja_eav (the perfect shareable plates w a moody ambiance), then wander over to banshee for late-night cocktails and dancing. @sfseav is right next door so you can bounce between bars. 

save this for your next girls night out & explore eav soon 🫶",atllovesmo,"Atlanta, Georgia",llm-refined-v1-dryrun-full,dinner,dinner,,food_spot,0.796,0,dry_run_keep_source
3839850548602936993,2026-02-24T20:51:05+00:00,https://www.instagram.com/p/DVJ47rEER6h/,"cool spots in atl for you to save & share 

follow @atllovesmo for more 💌

Add these to ur list 
@kinjoroom is moody and sexy and the perfect spot for gno or date night. Fill the table with sushi and cocktails and have yourself an evening. You can find them in @theinterlockatl in west midtown. 
@krogbar_pizza_ has the perfect neighborhood vibe with a cozy interior and a coal fired pizza oven. They don’t take reservations fyi. Find them in peachtree hills by Lindbergh. 
@fumatl speaks for itself with a vinyl dj playing in front of a chef making fresh pasta, an open kitchen and a cured meat room on display. It’s contemporary Italian from a Michelin rated team in Mia. Find them in @starmetalsatl in west midtown. 

Which one are you going to first??",atllovesmo,"Atlanta, Georgia",llm-refined-v1-dryrun-full,dinner,dinner,italian|japanese,food_spot,0.829,0,dry_run_keep_source
3839117150238356994,2026-02-23T20:27:58+00:00,https://www.instagram.com/p/DVHSLUnETYC/,"west midtown just got a new reason to dress up a little✨ 

Follow @atllovesmo for more 💌

@fumatl at Star Metals is contemporary Italian from a Michelin-recognized Miami hospitality team, and the vibe feels like is so good. Think handmade pasta being rolled right in front of you, a vinyl DJ set spinning in front of the pasta station, and a curing room lined with dried meats that looks like art. 

It’s intimate, cozy, and low-lit in the best way. I’d absolutely sip wine and meander my way through the menu, staying longer than planned. Perfect for an elevated girls’ night or a walkable West Midtown date night before or after drinks nearby. 

If you love spots with an open kitchen, music, and chefs at work, this one’s worth adding to this list. We had creamy gnocchi, fresh oysters, tuna carpaccio, and an insane 60 day dry-aged grassed ribeye.",atllovesmo,"Atlanta, Georgia",llm-refined-v1-dryrun-full,dinner,dinner,italian,food_spot,0.735,0,dry_run_keep_source
3837520278327504950,2026-02-21T15:34:56+00:00,https://www.instagram.com/p/DVBnFxwEbA2/,"Ever wonder what the massive space was right next to new realm on the Beltline? Add this new hangout spot to your list 💫👇

Follow @atllovesmo for more 💌

@azaraatl is the newest rooftop dining to hit Atlanta & it’s in a prime spot! ✨ 

This new rooftop restaurant blends elevated Mediterranean flavors with a level of intention you rarely find. Fun fact: Dr. Raj Pandya is an orthopedic surgeon and founder of Azara. The whole concept is built around longevity, wellness, and evidence-based nutrition, which he has done by leaning into his medical background & focusing on nutrient-rich ingredients and “longevity hotspots” inspired diets (places where people live longer). You can tell there’s real care behind the sourcing, flavors, and overall experience.

Are you inspired yet?? @azaraatl has roasted cauliflower steak, globally inspired small plates, fresh seafood, and veggie-forward dishes inspired by longevity regions like Sardinia and Okinawa. Of course, don’t skip a cocktail or glass of wine for sunset!

The space feels like one of those breezy rooftops you’d take friends from out of town or plan a walkable date night around. Think skyline views, warm ambiance, and an elevated health-forward menu 🫶 warm weather is around the corner after all!

Save this for your next rooftop night 💫",atllovesmo,"Atlanta, Georgia",llm-refined-v1-dryrun-full,dinner,dinner,mediterranean|seafood,food_spot,0.744,0,dry_run_keep_source
3836052549330360352,2026-02-19T14:58:40+00:00,https://www.instagram.com/p/DU8ZXgmkVgg/,"What are you getting into this weekend?? I’m a food and drink girlie till I die but in need of some fun things to do in atl that are not related to sipping cute cocktails in a dimly lit room, so drop ur recs below. ✨  added a few fun ones like plant shopping at @florafaunaatl , dancing at @bansheelatenight , vintage shopping at @spacequeen_atl ,  ceramic shopping at @chef_tableware and go explore Duluth bc @common.coffee.cocktails was a goodie

Send to ur weekend buddies 💫",atllovesmo,"Atlanta, Georgia",llm-refined-v1-dryrun-full,drinks,drinks,coffee_cafe,food_spot,0.736,0,dry_run_keep_source
3834753803556589585,2026-02-17T19:59:20+00:00,https://www.instagram.com/p/DU3yERWEZAR/,"🦪 ATL GIVEAWAY TIME 🦪 closed

One of Atlanta’s most iconic winter parties is back @steamhouselounge Oysterfest is taking over Midtown THIS weekend and I’ve got 🎟️ TWO TICKETS to give away so you can experience it with me 👀 

Think buckets of oysters, live music, & flowing drinks

✨ GIVEAWAY RULES: 
1️⃣ Follow @atllovesmo x @steamhouselounge 
2️⃣ Tag who you’re bringing with you (each tag = extra entry) 
3️⃣ Like this post 
HIT REPOST FOR BONUS ENTRY ✨

📍 WHERE: 1093 Peachtree St NE, Atlanta, GA (corner of Peachtree & 12th in Midtown) 

🗓️ WHEN: Saturday Feb 21 (11AM–7PM) + Sunday Feb 22 (11AM–6PM) 

🎟️ TICKETS: Weekend passes start around $25 (Sunday-only options available too) live music + entry included, food & drinks available for purchase inside.

I’ll pick one winner soon, so enter quick and save this for your weekend plans. 💫",atllovesmo,"Atlanta, Georgia",llm-refined-v1-dryrun-full,event,drinks,seafood,event,0.675,0,dry_run_keep_source
3831169389115281291,2026-02-12T21:17:35+00:00,https://www.instagram.com/p/DUrDELQkQ-L/,"A new kind of wellness space has come to Atlanta and it’s everything you’d want it to be 👇

@lumivita_buckhead is built around a proactive approach to feeling your best ✨ think hormone support, recovery, aesthetics, and longevity-focused treatments all under one roof, designed to support you for the long run. Essentially, they’re making it easy for us!

The atmosphere is calm, intentional, and elevated with cozy rooms for each of the services offered. It doesn’t feel like a clinic, but instead felt like an escape from our busy city (seeing how this is in the heart of buckhead with one coming to midtown soon)! I went for an organic massage with lymphatic drainage and a scalp massage, which was 75 minutes of pure bliss & relaxation. So you’re covered whether you’re looking for day spa or med spa services 🫶

Want to know the best part?? They also just opened a very limited founding membership for the first wave (only open to 100 people) with exclusive access, insider pricing, and perks that won’t be offered later. If you’ve been wanting to invest in your long-term wellness, this might be the moment. Founding Members get 20% off their monthly membership for as long as they remain a member (I’m in).

Learn more through @lumivita_buckhead profile ✨

📍 2385 Peachtree Rd NE",atllovesmo,"Atlanta, Georgia",llm-refined-v1-dryrun-full,unknown,unknown,,food_spot,0.63,0,dry_run_keep_source
3829781132800513712,2026-02-10T23:23:36+00:00,https://www.instagram.com/p/DUmHaY0EVaw/,"Have you been to this (hidden?) gem yet!? 

Follow @atllovesmo for more 💌 this is part 3💫

@bona_fide_deluxe is one of my favorite casual spots to hang out in Atlanta. They have some of the best sandwiches in Atlanta like the smoked turkey, that one is a must. It’s a really cute spot next to a wine bar which makes for a good walkable date night if you haven’t been yet, add this to your list! I’m so sorry I’m late. How are you put that in?",atllovesmo,"Atlanta, Georgia",llm-refined-v1-dryrun-full,dinner,dinner,bbq,food_spot,0.685,0,dry_run_keep_source
